Power,Angle,out
30,67,2
14,88,3
23,14,2
12,31,2
44,3,2
22,66,2
55,25,0
27,67,2
25,87,3
37,59,2
37,28,2
11,38,2
59,35,1
41,64,2
31,45,2
3,86,3
57,83,2
50,75,2
30,46,2
9,60,2
48,59,0
53,63,0
53,54,0
5,52,3
10,83,3
42,1,2
1,81,3
31,58,2
53,36,0
9,35,2
44,30,0
57,74,1
0,86,3
55,29,0
46,33,0
56,61,0
32,4,2
51,78,2
26,15,2
47,51,0
55,59,0
1,86,3
19,45,2
58,25,0
3,79,3
44,44,0
30,11,2
10,35,2
36,7,2
54,82,2
6,14,2
4,26,3
22,65,2
54,1,2
57,5,2
45,58,0
43,9,2
7,20,2
15,84,3
6,11,2
12,67,2
5,76,3
58,73,0
0,25,3
8,89,3
1,61,3
51,23,0
15,25,2
30,33,2
17,16,2
23,15,2
51,64,0
14,49,2
48,7,2
40,17,2
14,37,2
27,13,2
3,69,3
8,71,3
37,3,2
44,80,2
7,48,2
12,39,2
56,78,2
51,1,2
26,52,2
9,40,2
51,31,0
52,80,2
29,44,2
13,79,3
52,59,0
36,60,2
39,78,2
43,22,2
7,17,2
30,42,2
51,55,0
12,21,2
18,26,2
48,83,2
25,72,2
16,55,2
39,21,2
38,63,2
26,21,2
35,30,2
8,49,2
33,46,2
31,5,2
49,67,1
50,40,0
32,60,2
49,53,0
6,82,3
38,15,2
28,71,2
27,27,2
58,62,0
18,66,2
55,2,2
16,59,2
18,48,2
13,39,2
33,21,2
56,1,2
28,63,2
57,36,1
29,68,2
13,70,2
34,50,2
30,89,3
4,29,3
7,2,2
52,20,0
46,78,2
49,2,2
28,12,2
11,5,2
41,24,2
2,7,3
4,86,3
49,69,1
20,65,2
19,5,2
24,33,2
28,23,2
20,49,2
10,76,3
0,75,3
6,34,2
19,32,2
19,39,2
29,33,2
37,6,2
43,22,2
11,82,3
35,6,2
45,79,2
43,0,2
11,6,2
19,58,2
19,7,2
25,66,2
18,57,2
19,66,2
59,47,2
9,27,2
43,20,2
2,31,3
26,69,2
16,3,2
15,70,2
43,56,0
36,52,2
45,59,0
54,52,0
3,60,3
34,79,2
32,62,2
46,42,0
9,82,3
3,19,3
34,16,2
43,74,2
31,64,2
27,5,2
14,57,2
19,65,2
41,70,2
13,10,2
